station_complex,ridership
"7 Av (B,Q)",167537
"Nevins St (2,3,4,5)",183127
"Winthrop St (2,5)",130170
"Spring St (C,E)",245439
"39 Av-Dutch Kills (N,W)",67656
"155 St (B,D)",40724
"34 St-Penn Station (1,2,3)",1362084
3 Av-138 St (6),127560
Kingston Av (3),73818
"Canal St (A,C,E)",347121
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",553259
Neck Rd (Q),78816
"Eastern Pkwy-Brooklyn Museum (2,3)",91730
"23 St (C,E)",359578
"Briarwood (E,F)",86151
Kings Hwy (F),54015
Sutter Av (L),38431
Franklin St (1),110862
Harlem-148 St (3),54579
Zerega Av (6),37238
"23 St (F,M)",491146
Parkchester (6),199850
"7 Av (F,G)",200198
33 St (6),471144
Inwood-207 St (A),175216
Avenue U (F),27627
Park Pl (S),26552
190 St (A),80543
Beach 25 St (A),24740
Forest Av (M),77492
86 St (N),44667
"49 St (N,R,W)",528924
"Canal St (J,N,Q,R,W,Z,6)",888316
86 St (R),191348
Bedford-Nostrand Avs (G),162113
Beverley Rd (Q),62858
Neptune Av (F),24277
57 St (F),281197
71 St (D),85552
Flushing Av (G),7530
Parsons Blvd (F),124895
"4 Av (F,G)/9 St (R)",220090
Bushwick Av-Aberdeen St (L),46184
Fordham Rd (4),149960
Junius St (3),40228
"Beach 90 St (A,S)",24276
"Wall St (2,3)",352993
1 Av (L),486589
East 105 St (L),46525
"Newkirk Plaza (B,Q)",176741
125 St (1),143891
23 St (1),259567
Wilson Av (L),75841
"Chambers St (1,2,3)",281743
53 St (R),143607
Woodlawn (4),106450
18 Av (N),90531
"14 St (A,C,E)/8 Av (L)",963988
