,Rk,Date,Age,Tm,Unnamed: 4,Opp,Unnamed: 6,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,name
20,21,2024-07-07,27-127,DAL,@,LVA,L (-19),1,36:55,4,13,0.308,2,6,0.333,3,3,1.0,0,6,6,4,3,0,2,3,13,9.9,Ogunbawale
21,22,2024-07-10,27-130,DAL,@,PHO,L (-16),1,38:10,4,14,0.286,2,8,0.25,3,3,1.0,0,2,2,13,1,0,0,4,13,13.9,Ogunbawale
22,23,2024-07-13,27-133,DAL,,LAS,L (-6),1,37:53,2,15,0.133,2,9,0.222,6,6,1.0,1,2,3,4,2,2,5,5,12,2.8,Ogunbawale
23,24,2024-07-17,27-137,DAL,,IND,W (+8),1,39:40,8,21,0.381,2,5,0.4,6,7,0.857,2,5,7,7,3,0,2,2,24,20.1,Ogunbawale
24,25,2024-08-16,27-167,DAL,,CON,L (-18),1,37:41,6,12,0.5,3,6,0.5,6,6,1.0,1,2,3,2,3,0,2,5,21,16.7,Ogunbawale
25,26,2024-08-20,27-171,DAL,@,NYL,L (-20),1,38:25,5,13,0.385,3,7,0.429,4,4,1.0,1,5,6,5,0,0,2,0,17,13.6,Ogunbawale
26,27,2024-08-22,27-173,DAL,@,NYL,L (-8),1,40:00,7,18,0.389,2,9,0.222,3,4,0.75,2,4,6,8,2,2,3,2,19,16.6,Ogunbawale
27,28,2024-08-25,27-176,DAL,,LAS,W (+3),1,40:00,10,21,0.476,4,12,0.333,9,9,1.0,0,4,4,7,2,0,1,2,33,28.6,Ogunbawale
28,29,2024-08-27,27-178,DAL,,LVA,W (+3),1,40:00,7,17,0.412,1,7,0.143,5,5,1.0,0,5,5,6,0,1,4,5,20,11.3,Ogunbawale
29,30,2024-08-30,27-181,DAL,,MIN,W (+18),1,39:12,11,24,0.458,3,9,0.333,0,0,,1,3,4,8,1,1,1,1,25,20.1,Ogunbawale
30,31,2024-09-01,27-183,DAL,,IND,L (-7),1,39:38,12,25,0.48,9,16,0.563,1,1,1.0,1,7,8,3,1,0,2,2,34,24.4,Ogunbawale
31,32,2024-09-03,27-185,DAL,,WAS,L (-4),1,37:15,7,17,0.412,2,9,0.222,5,5,1.0,0,2,2,4,1,0,0,4,21,14.7,Ogunbawale
32,33,2024-09-06,27-188,DAL,@,ATL,L (-11),1,45:00,7,17,0.412,3,8,0.375,5,5,1.0,2,4,6,8,3,1,3,3,22,20.6,Ogunbawale
33,34,2024-09-08,27-190,DAL,@,CHI,L (-15),1,38:23,8,17,0.471,1,5,0.2,6,6,1.0,0,3,3,1,0,0,2,2,23,13.1,Ogunbawale
34,35,2024-09-10,27-192,DAL,,NYL,L (-14),1,35:47,8,16,0.5,2,7,0.286,5,6,0.833,0,3,3,4,0,1,0,1,23,18.6,Ogunbawale
35,36,2024-09-12,27-194,DAL,,NYL,L (-32),1,33:34,3,13,0.231,1,4,0.25,4,4,1.0,0,1,1,4,2,0,2,2,11,5.4,Ogunbawale
36,37,2024-09-13,27-195,DAL,,SEA,L (-2),1,40:00,6,20,0.3,2,6,0.333,1,1,1.0,2,2,4,5,1,0,3,3,15,5.7,Ogunbawale
37,38,2024-09-15,27-197,DAL,@,IND,L (-1),1,38:01,10,17,0.588,5,10,0.5,2,3,0.667,0,3,3,5,1,0,4,3,27,18.9,Ogunbawale
0,1,2024-05-14,29-261,NYL,@,WAS,W (+5),1,31:32,3,9,0.333,0,1,0.0,2,2,1.0,1,7,8,2,1,0,3,4,8,3.5,Stewart
1,2,2024-05-16,29-263,NYL,@,IND,W (+36),1,29:20,12,21,0.571,1,3,0.333,6,6,1.0,5,5,10,4,3,2,0,3,31,32.1,Stewart
2,3,2024-05-18,29-265,NYL,,IND,W (+11),1,29:51,7,14,0.5,2,3,0.667,8,8,1.0,0,5,5,2,4,3,4,1,24,21.6,Stewart
3,4,2024-05-20,29-267,NYL,,SEA,W (+11),1,32:57,7,18,0.389,0,6,0.0,2,3,0.667,2,9,11,1,3,2,2,1,16,12.6,Stewart
